Date,RAAN,Inclination,Arg of Perigee,SMA,Eccentricity
2023-09-10 10:56:52.765728,3.5345,9.9902,279.2967,577.926,8.07e-05
2023-09-10 12:32:51.285984,3.0492,9.9902,279.1955,577.923,8.08e-05
2023-09-10 17:20:46.835520,1.5934,9.9902,279.7533,577.912,7.97e-05
2023-09-10 20:32:43.839744,0.6227,9.9901,280.4512,577.904,7.96e-05
2023-09-11 17:20:25.529280,354.2771,9.9876,197.9103,577.938,0.0002857
2023-09-12 12:32:12.548544,348.492,9.9901,272.2494,578.144,8.6e-05
2023-09-12 15:44:10.083264,347.5216,9.9902,271.0325,578.124,8.97e-05
2023-09-13 09:19:56.281440,342.1834,9.9901,272.1369,578.069,8.72e-05
2023-09-13 12:31:53.804064,341.2143,9.9902,272.6349,578.071,8.73e-05
2023-09-13 15:43:51.210912,340.2443,9.9901,274.8126,578.062,8.53e-05
2023-09-13 20:31:47.239104,338.7865,9.99,275.8769,578.05,8.54e-05
2023-09-14 09:19:36.505344,334.9044,9.9899,275.3681,578.015,8.25e-05
2023-09-14 10:55:35.147424,334.4189,9.99,275.2045,578.012,8.21e-05
2023-09-14 15:43:31.003680,332.9616,9.9899,275.7009,577.999,8.02e-05
2023-09-14 18:55:28.268832,331.992,9.9899,275.9545,577.998,8.13e-05
2023-09-15 09:19:15.577536,327.6244,9.9897,275.1218,577.958,7.89e-05
2023-09-15 10:55:14.161728,327.1391,9.9897,274.6524,577.962,7.86e-05
2023-09-15 18:55:06.934080,324.7122,9.9897,275.8328,577.943,7.8e-05
2023-09-16 09:18:53.692416,320.3449,9.9896,274.1614,577.91,7.44e-05
2023-09-16 17:18:47.182752,317.8858,9.9922,220.6567,578.135,0.0003268
2023-09-17 09:18:36.138528,313.0659,9.9901,260.6833,578.097,0.0001105
2023-09-17 17:18:29.831904,310.6397,9.9898,262.6031,578.071,9.64e-05
2023-09-18 09:18:16.993152,305.7882,9.9896,262.9383,578.051,9.37e-05
2023-09-18 17:18:10.317600,303.3615,9.9896,264.233,578.029,9.39e-05
2023-09-19 09:17:56.539680,298.5122,9.9892,276.7569,577.973,6.69e-05
2023-09-19 15:41:50.746848,296.5701,9.9893,270.5382,577.947,7.52e-05
2023-09-20 07:41:35.872512,291.715,9.9893,266.7485,577.897,8.32e-05
2023-09-20 15:41:30.013440,289.2771,9.9898,270.3754,578.17,8.58e-05
2023-09-21 07:41:18.193344,284.4343,9.9893,270.3758,578.127,8.49e-05
2023-09-21 15:41:11.975712,282.0081,9.9893,267.3209,578.108,8.82e-05
2023-09-22 07:40:59.284704,277.1572,9.9891,269.0894,578.069,8.48e-05
2023-09-23 06:04:40.531296,270.3627,9.9888,267.353,578.005,8.51e-05
2023-09-24 02:52:22.168992,264.0541,9.9884,266.2359,577.946,7.82e-05
2023-09-24 06:04:19.308000,263.0845,9.9883,264.6594,577.94,7.53e-05
2023-09-25 04:27:58.277952,256.2849,9.9874,239.555,577.857,7.89e-05
2023-09-25 06:03:56.822400,255.7963,9.988,248.8504,577.862,0.0001031
2023-09-25 09:15:54.953280,254.826,9.9884,253.3545,577.928,0.000119
2023-09-26 06:03:39.633984,248.5175,9.9868,198.1854,578.227,6.05e-05
2023-09-27 01:15:24.825888,242.7308,9.9857,5.3171,578.062,4.73e-05
2023-09-27 07:39:18.380736,240.7483,9.9831,166.2441,578.038,0.0002016
2023-09-27 12:27:15.007680,239.3182,9.9866,279.538,578.034,6.28e-05
2023-09-28 02:51:02.609280,234.945,9.987,270.3483,578.003,6.73e-05
2023-09-28 04:27:00.967104,234.4452,9.9873,262.5016,578.002,7.29e-05
2023-09-29 01:14:42.275616,228.1322,9.9877,257.2521,577.957,9.5e-05
2023-09-29 02:50:40.873632,227.6442,9.9877,255.9758,577.958,9.34e-05
2023-10-01 06:18:22.055328,212.0426,9.9864,354.1076,578.01,0.0002083
2023-10-01 09:13:57.519264,211.1537,9.9878,262.2298,577.989,9.03e-05
2023-10-02 01:13:43.215168,206.3001,9.9877,261.7589,577.937,9.33e-05
2023-10-02 09:13:35.842368,203.8736,9.9876,260.3357,577.912,9.46e-05
2023-10-02 23:37:22.181664,199.5059,9.9873,260.0272,577.868,9.8e-05
2023-10-03 09:13:15.655872,196.5916,9.9879,268.5763,578.13,9.58e-05
2023-10-04 07:36:57.917664,189.7944,9.9874,268.677,578.058,9.2e-05
2023-10-04 22:00:45.748224,185.4258,9.9873,266.8977,578.002,9.56e-05
2023-10-05 07:36:37.294848,182.5133,9.9872,264.0407,577.961,9.7e-05
2023-10-07 05:59:58.727328,168.4438,9.987,266.9849,578.034,9.52e-05
2023-10-07 06:32:48.037344,168.2857,9.9853,349.604,578.073,9.17e-05
2023-10-07 20:23:46.296960,164.0737,9.9877,269.0458,577.98,0.0001006
2023-10-08 02:47:40.390944,162.1217,9.9876,256.7185,577.955,9.89e-05
2023-10-08 05:59:37.556736,161.155,9.9876,261.3361,577.942,0.0001017
2023-10-08 20:23:24.098208,156.7866,9.9878,264.8608,577.884,0.0001066
2023-10-09 01:11:19.491360,155.3311,9.9878,265.1592,577.866,0.000107
2023-10-09 05:59:14.805888,153.8755,9.9878,265.3553,577.845,0.000108
2023-10-12 17:09:43.061472,128.5749,9.9818,198.6247,578.188,0.0006566
2023-10-14 21:57:22.985568,112.6295,9.9831,170.9117,577.986,0.000157
2023-10-15 18:45:03.364416,106.3175,9.987,268.146,577.862,9.17e-05
2023-10-15 21:57:00.205344,105.3474,9.9873,276.0957,577.849,0.0001009
2023-10-16 01:08:57.084288,104.3778,9.9875,282.8714,577.838,0.0001094
2023-10-17 14:12:56.664864,93.1433,9.9859,238.5805,578.298,7.18e-05
2023-10-18 01:40:43.862304,89.6226,9.9871,34.9263,578.212,9.7e-05
2023-10-19 23:31:43.332096,75.7574,9.9875,276.4375,578.007,0.0001093
2023-10-20 15:31:31.728000,70.8985,9.9871,349.9197,578.134,8.75e-05
